"project","day","month","year","tow.id","species","zone","tow.number","crab.number","sex","carapace.width","abdomen.width","chela.height","shell.condition","shell.condition.mossy","gonad.colour","egg.colour","eggs.remaining","tag.number","missing.legs","durometer","weight","comment"
"scs",14,7,2004,"GP279",2526,"12",1,1,1,116.56,,28.71,4," ",,,,"","**********",77,,""
"scs",14,7,2004,"GP279",2526,"12",1,2,1,108.76,,27.53,1," ",,,,"","**********",44,,""
"scs",14,7,2004,"GP279",2526,"12",1,3,1,97.06,,21.94,3," ",,,,"","**********",77,,""
"scs",14,7,2004,"GP279",2526,"12",1,4,1,92.77,,22.37,2," ",,,,"","**********",85,,""
"scs",14,7,2004,"GP279",2526,"12",1,5,1,85.22,,20.26,4," ",,,,"","*1**1*1***",75,,""
"scs",14,7,2004,"GP279",2526,"12",1,6,1,109.79,,26.84,1," ",,,,"","11********",50,,""
"scs",14,7,2004,"GP279",2526,"12",1,7,1,93.38,,22.31,2," ",,,,"","**********",83,,""
"scs",14,7,2004,"GP279",2526,"12",1,8,1,108.78,,28.44,4," ",,,,"","**********",77,,""
"scs",14,7,2004,"GP279",2526,"12",1,9,1,95.42,,22.58,4," ",,,,"","**********",79,,""
"scs",14,7,2004,"GP279",2526,"12",1,10,1,94.3,,22.12,5," ",,,,"","11*****1**",68,,""
"scs",14,7,2004,"GP279",2526,"12",1,11,1,72.72,,15.08,3," ",,,,"","**********",73,,""
"scs",14,7,2004,"GP279",2526,"12",1,12,1,84.53,,19.03,4," ",,,,"","********1*",83,,""
"scs",14,7,2004,"GP279",2526,"12",1,13,1,94.84,,21.77,3,"M",,,,"","******1***",79,,""
"scs",14,7,2004,"GP279",2526,"12",1,14,1,64.4,,10.78,1," ",,,,"","**********",55,,""
"scs",14,7,2004,"GP279",2526,"12",1,15,1,64.97,,10.68,1," ",,,,"","**********",55,,""
"scs",14,7,2004,"GP279",2526,"12",1,16,1,79,,16.18,4," ",,,,"","**********",70,,""
"scs",14,7,2004,"GP279",2526,"12",1,17,1,65.71,,12.61,4," ",,,,"","**********",73,,""
"scs",14,7,2004,"GP279",2526,"12",1,18,1,107.25,,26.74,4," ",,,,"","****1****1",76,,""
"scs",14,7,2004,"GP279",2526,"12",1,19,1,84.24,,18.89,3,"M",,,,"","1*********",80,,""
"scs",14,7,2004,"GP279",2526,"12",1,20,1,71.42,,12.19,2," ",,,,"","*1********",54,,""
"scs",14,7,2004,"GP279",2526,"12",1,21,1,105.19,,23.95,4," ",,,,"","*1*1*1***1",79,,""
"scs",14,7,2004,"GP279",2526,"12",1,22,1,67.38,,14.96,4," ",,,,"","**********",65,,""
"scs",14,7,2004,"GP279",2526,"12",1,23,1,61.85,,12.32,5," ",,,,"","*1********",56,,""
"scs",14,7,2004,"GP279",2526,"12",1,24,1,108.34,,28.87,5," ",,,,"","*1**1***11",65,,""
"scs",14,7,2004,"GP279",2526,"12",1,25,1,72.94,,15.89,3,"M",,,,"","**********",76,,""
"scs",14,7,2004,"GP279",2526,"12",1,26,1,80.72,,18.17,3," ",,,,"","**1****1**",78,,""
"scs",14,7,2004,"GP279",2526,"12",1,27,1,65.54,,10.97,1," ",,,,"","1********1",50,,""
"scs",14,7,2004,"GP279",2526,"12",1,28,1,63.52,,12.89,4," ",,,,"","**********",63,,""
"scs",14,7,2004,"GP279",2526,"12",1,29,1,56.31,,10.49,3,"M",,,,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,30,1,59.07,,9.44,1," ",,,,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,31,1,53.67,,8.69,1," ",,,,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,32,2,62.53,45.02,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,33,2,64.16,45.94,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,34,2,59.77,42.59,,4," ",,2,4,"","******1***",,,""
"scs",14,7,2004,"GP279",2526,"12",1,35,2,58.62,42.19,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,36,2,58.04,41.27,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,37,2,58.47,41.33,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,38,2,65.66,46.19,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,39,2,72.91,52.37,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,40,2,65.05,43.33,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,41,2,59.9,42.85,,4," ",,2,4,"","**1*******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,42,2,63.46,44.52,,4," ",,2,4,"","********11",,,""
"scs",14,7,2004,"GP279",2526,"12",1,43,2,67.25,49.11,,4," ",,2,4,"","1*****1***",,,""
"scs",14,7,2004,"GP279",2526,"12",1,44,2,55.24,40.7,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,45,2,56.63,40.34,,4," ",,2,4,"","*1********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,46,2,62.48,45.28,,4," ",,2,4,"","**1*******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,47,2,66.42,49.2,,4," ",,2,4,"","**11*1****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,48,2,53.66,38.64,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,49,2,58.55,40.89,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,50,2,63.06,45.41,,4," ",,2,4,"","***1******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,51,2,78.45,55.49,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,52,2,67.95,48.4,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,53,2,66.31,46.98,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,54,2,65.02,44.01,,4," ",,2,4,"","****11*1**",,,""
"scs",14,7,2004,"GP279",2526,"12",1,55,2,61.51,45.05,,4," ",,2,4,"","***2******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,56,2,56.04,37.28,,4," ",,2,4,"","*********1",,,""
"scs",14,7,2004,"GP279",2526,"12",1,57,2,59.45,44.51,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,58,2,62.29,45.26,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,59,2,55.02,37.31,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,60,2,64.76,46.85,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,61,2,55.32,40,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,62,2,58.89,40.31,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,63,2,60.58,43.82,,4," ",,1,4,"","***1******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,64,2,62.12,43.49,,4," ",,2,4,"","******11**",,,""
"scs",14,7,2004,"GP279",2526,"12",1,65,2,71.49,49.8,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,66,2,73.85,53.19,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,67,2,57.61,41.36,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,68,2,61.87,44.8,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,69,2,61.06,43.2,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,70,2,61.8,43.86,,4," ",,2,4,"","********1*",,,""
"scs",14,7,2004,"GP279",2526,"12",1,71,2,72.47,52.65,,4," ",,4,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,72,2,59.47,43.19,,4," ",,1,4,"","*******1**",,,""
"scs",14,7,2004,"GP279",2526,"12",1,73,2,53.06,36.83,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,74,2,60.81,43.49,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,75,2,62.02,42.85,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,76,2,66.8,49.18,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,77,2,64.74,45.57,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,78,2,64.77,47.77,,4," ",,1,4,"","********1*",,,""
"scs",14,7,2004,"GP279",2526,"12",1,79,2,62.12,42.58,,4," ",,2,4,"","*******1**",,,""
"scs",14,7,2004,"GP279",2526,"12",1,80,2,62.15,43.75,,4," ",,2,4,"","***1******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,81,2,66.46,48.21,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,82,2,60.88,43.14,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,83,2,58.78,41.53,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,84,2,52.01,37.78,,4," ",,2,4,"","****1*****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,85,2,52.39,36.16,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,86,2,66.94,49.05,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,87,2,60.29,44.09,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,88,2,64.92,45.74,,4," ",,2,4,"","*1********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,89,2,62.35,44.74,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,90,2,67.23,46.59,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,91,2,60.91,43.84,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,92,2,59.53,42.29,,4," ",,2,4,"","*****1****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,93,2,59.17,40.59,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,94,2,59.78,43.54,,4," ",,1,4,"","*1********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,95,2,66.12,49.67,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,96,2,69.84,50.93,,5," ",,,0,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,97,2,63.93,46.08,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,98,2,80.77,56,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,99,2,51.43,36.8,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,100,2,60.54,42.4,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,101,2,70.99,49.77,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,102,2,71.76,49.22,,4," ",,1,2,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,103,2,65.91,47.82,,4," ",,2,4,"","*****1****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,104,2,67.14,48.14,,4," ",,2,4,"","**1*******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,105,2,62.96,44.97,,4," ",,2,4,"","*******1**",,,""
"scs",14,7,2004,"GP279",2526,"12",1,106,2,63.44,44.43,,4," ",,1,4,"","********1*",,,""
"scs",14,7,2004,"GP279",2526,"12",1,107,2,68.91,50.23,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,108,2,61.06,43.02,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,109,2,66.46,47.24,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,110,2,67.5,52.42,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,111,2,60.62,40.44,,4," ",,2,4,"","******1***",,,""
"scs",14,7,2004,"GP279",2526,"12",1,112,2,74.54,54.39,,4," ",,,0,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,113,2,62.31,45.49,,4," ",,2,4,"","***1******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,114,2,60.07,44.06,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,115,2,59.23,42.01,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,116,2,64.73,46.63,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,117,2,67.09,48.08,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,118,2,62.97,42.88,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,119,2,62.41,43.77,,4," ",,2,4,"","1*********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,120,2,61.61,44.71,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,121,2,60.29,43.58,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,122,2,67.83,50.37,,4," ",,,0,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,123,2,57.23,40.98,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,124,2,54.13,38.93,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,125,2,55.44,36.6,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,126,2,62.89,45.91,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,127,2,58.42,40.43,,4," ",,1,4,"","*2********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,128,2,67.32,48.41,,4," ",,2,4,"","**11******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,129,2,58.93,42.63,,3," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,130,2,67.74,47.32,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,131,2,62.84,44.19,,4," ",,1,4,"","1*********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,132,2,63.25,43.63,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,133,2,55.77,39.35,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,134,2,59.45,44,,4," ",,1,4,"","**1*******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,135,2,60.61,42.67,,4," ",,2,4,"","**1*******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,136,2,66.89,48.66,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,137,2,58.77,43.06,,4," ",,2,4,"","****1*****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,138,2,60.98,45.39,,4," ",,2,4,"","*1********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,139,2,48.11,35.33,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,140,2,55.56,40.06,,4," ",,1,4,"","1*****2***",,,""
"scs",14,7,2004,"GP279",2526,"12",1,141,2,63.2,46.72,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,142,2,51.83,36.61,,4," ",,1,4,"","**1***1***",,,""
"scs",14,7,2004,"GP279",2526,"12",1,143,2,56.35,38.93,,4," ",,2,4,"","*****1****",,,""
"scs",14,7,2004,"GP279",2526,"12",1,144,2,49.01,34.64,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,145,2,56.21,42.23,,4," ",,2,4,"","*********1",,,""
"scs",14,7,2004,"GP279",2526,"12",1,146,2,59.05,40.99,,4," ",,1,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,147,2,57.9,40.84,,4," ",,1,4,"","*1*1******",,,""
"scs",14,7,2004,"GP279",2526,"12",1,148,2,62.93,46.6,,4," ",,2,4,"","**********",,,""
"scs",14,7,2004,"GP279",2526,"12",1,149,2,57.41,42.63,,4," ",,1,4,"","**********",,,""
