code,name_latin,name_en,name_fr
1,Aluterus schoepfi,Orange filefish,Alut_re orange
2,Aluterus scriptus,"Filefish,scrawled",Alut_re ‚crit
3,Balistes capriscus,Gray triggerfish,Baliste gris
4,Balistes vetula,Queen triggerfish,Baliste vieille
5,Monacanthus ciliatus,Fringed filefish,Lime frang‚e
6,Stephanolepis hispidus,Planehead filefish,Lime … grande tˆte
7,Menticirrhus saxatilis,Northern kingfish,Menticirrhus saxatilis
8,Bothus sp.,Bothus sp.,Bothus sp.
9,Engraulis eurystole,Silver anchovy,Engraulis eurystole
10,Gadus morhua,Atlantic cod,Morue franche
11,Melanogrammus aeglefinus,Haddock,Aiglefin
12,Urophycis tenuis,White hake,Merluche blanche
13,Urophycis chuss,Squirrel or red hake,Merluche-‚cureuil
14,Merluccius bilinearis,Silver hake,Merlu argent‚
15,Brosme brosme,Cusk,Brosme
16,Pollachius virens,Pollock,Goberge
17,Microgadus tomcod,Atlantic tomcod,Poulamon atlantique
18,Hake unid.,Hake (ns),Merlus
19,Merluccius albidus,Off-shore hake,Merlu blanc
20,Sebastes marinus,Acadian redfish,S‚baste atlantique
21,Sebastes mentella,Deep water redfish,S‚baste de profondeur
22,Bonapartia pediolota,Bonapartia pediolota,Bonapartia pediolota
23,Sebastes sp.,Redfish unspecified,S‚baste non sp‚cifi‚
24,Morone saxatilis,Striped bass,Bar d'Am‚rique
25,Lopholatilus chamaeleonticeps,Tile fish,Tile
26,Scorpaena calcarata,Smoothhead scorpionfish,Scorpaena calcarata
27,Lepidocybium flavobrunneum,Escolar,Escolar
28,Nealotus tripes,Nealotus tripes,Coelho tripode
29,Ruvettus pretiosus,Oilfish,Rouvet
30,Hippoglossus hippoglossus,Atlantic halibut,Fl‚tan Atlantique
31,Reinhardtius hippoglossoides,Turbot / greenland halibut,Fl‚tan du Groenland
32,Tetrapturus albidus,White marlin,Makaire blanc
33,Makaira nigricans,Blue marlin,Makaire bleu
34,Engraulidae f.,Anchovies,Anchois
35,Merluccius sp.,Hake,Merlus
36,Labridae f.,Wrasses,Labres
37,Echiodon dawsoni,"Pearlfish,chain",Aurin chaine
38,Pseudoscopelus sp.,Swallowers,Pseudoscopelus sp.
39,Chiasmodon niger,Black swallower,Grand avaleur
40,Hippoglossoides platessoides,American plaice,Plie canadienne
41,Glyptocephalus cynoglossus,Witch flounder,Plie grise
42,Limanda ferruginea,Yellowtail flounder,Limande … queue jaune
43,Pseudopleuronectes americanus,Winter flounder,Plie rouge
44,Citharichthys arctifrons,Gulf stream flounder,Turbot du Gulf Stream
45,Bothus ocellatus,Eyed flounder,Turbot ocul‚
46,Sphyraena borealis,Northern sennet,Sphyraena borealis
47,Mugil curema,White mullet,Mugil curema
48,Mugil cephalus,Striped mullet,Muge cabot
49,Pleuronectidae f.,Flounder unid,Plies
50,Anarhichas lupus,Striped / atlantic wolffish,Loup atlantique
51,Anarhichas minor,Spotted wolffish,Loup tachet‚
52,Anarhichas denticulatus,Northern wolffish,Loup … tˆte large
53,Tautoga onitis,Tautog,Tautogue noir
54,Abudefduf saxatilis,Sergeant major,Abudefduf saxatilis
55,Molva molva,European ling,Julienne
56,Molva dypterygia,Blue ling,Lingue bleue
57,Phycinae s.f.,Phycinae s.f.,Phycinae s.f.
58,Anchoa hepsetus,Striped anchovy,Pitiquinga
59,Anarhichadidae f.,"Wolffish, unidentified",Loups
60,Clupea harengus,Atlantic herring,Hareng atlantique
61,Alosa sapidissima,American shad,Alose savoureuse
62,Alosa pseudoharengus,Alewife,Gasperau
63,Osmerus mordax mordax,Rainbow smelt,êperlan d'Am‚rique
64,Mallotus villosus,Capelin,Capelan
65,Salmo salar,Atlantic salmon,Saumon atlantique
66,Coregonus clupeaformis,Lake whitefish,Grand cor‚gone
67,Coregonus canadensis,Atlantic whitefish,Coregonus canadensis
68,Oncorhynchus gorbuscha,Pink salmon,Saumon rose
69,Salmo gairdneri,Rainbow trout,Truite arc-en-ciel
70,Scomber scombrus,Atlantic mackerel,Maquereau bleu
71,Thunnus thynnus,Bluefin tuna,Thon rouge
72,Xiphias gladius,Swordfish,Espadon
73,Scombroidei (suborder),"Tunas, swordfishes,etc.",Scomb‚roides
74,Seriola zonata,Banded rudderfish,S‚riole … ceinture
75,Salmo trutta,Brown trout,Truite brune
76,Salvelinus alpinus,Arctic char,Omble chevalier
77,Salvelinus fontinalis,Brook trout,Truite mouchet‚e
78,Cookeolus boops,Bulleye,Cookeolus boops
79,Priacanthus cruentatus,Glasseye snapper,Priacanthus cruentatus
80,Decapterus punctatus,Round scad,Decapterus punctatus
81,Pomatomus saltatrix,Bluefish,Tassergal
82,Echeneis naucrates,Sharksucker,Naucrate
83,Remora brachyptera,Spearfish remora,R‚mora brun
84,Remora remora,Remora,R‚mora noir
85,Caranx crysos,Blue runner,Carangue jaune
86,Caranx hippos,Crevalle jack,Carangue crevall‚
87,Decapterus macarellus,Mackerel scad,Faux-maquereau
88,Naucrates ductor,Pilotfish,Fanfre
89,Selar crumenophthalmus,Bigeye scad,S‚lar … grandes paupieres
90,Unid. Fish (any size or age),Unidentified FISH,Poisson non-identifi‚ (toutes les ages et longueurs)
91,Selene vomer,Atlantic lookdown,S‚l_ne Atlantique
92,Seriola dumerili,Greater amberjack,Seriola dumerili
93,Trachurus trachurus,Horse mackerel,Chinchard
94,Vomer setapinnis,Atlantic moonfish,Assi_tte atlantique
95,Brama brama,Atlantic pomfret,Grande castagnole
96,Taractichthys longipinnis,Bigscale pomfret,Castagnole fauchoir
97,Caristius groenlandicus,Greenland manefish,Cariste du Groenland
98,Lutjanus sp.,Lutjanus sp.,Lutjanus sp.
99,Archosargus probatocephalus,Sheepshead,Spare tˆte-de-mouton
100,Finfishes (ns),Finfishes (ns),Poissons
101,Gadoidei s.o.,Gadoids,Gadoidei s.o.
102,Stenotomus chrysops,Scup,Spare dor‚
103,Cynoscion regalis,Weakfish,Acoupa royal
104,Pogonias cromis,Black drum,Grand tambour
105,Mullus auratus,Red goatfish,Rouget dor‚
106,Kyphosus sectatrix,Bermuda chub,Kyphose des Bermudes
107,Chaetodon ocellatus,Spotfin butterflyfish,Palhala
108,Lepidion eques,Lepidion eques,L‚pidion … grands yeux
109,Halargyreus johnsonii,Dainty mora,More d‚licat
110,Boreogadus saida,Arctic cod,Saida (morue arctique)
111,Urophycis regia,Spotted hake,Merluche tachet‚e
112,Phycis chesteri,Longfin hake,Merluche … longues nageoires
113,Antimora rostrata,Blue antimora/hake,Antimore bleu
114,Enchelyopus cimbrius,Fourbeard rockling,Motelle … quatre barbillons
115,Gaidropsarus ensis,Threebeard rockling,Must_le arctique … trois barbillons
116,Gaidropsarus argentatus,Silver rockling,Must_le argent‚e
117,Micromesistius poutassou,Blue whiting,Poutassou
118,Gadus ogac,Greenland cod,Ogac
119,Gaidropsarus sp.,"Rockling, unidentified",Must_le sp.
120,Morone americana,White perch,Perche blanche
121,Centropristis striata,Southern sea bass,Bar noir
122,Tautogolabrus adspersus,Cunner,Tanche-tautogue
123,Helicolenus dactylopterus,Rosefish (black belly),Ch_vre imp‚riale
124,Centrobranchus nigro-ocellatus,Centrobranchus nigro-ocellatus,Lanterne fine oreille-faucille
125,Diaphus effulgens,Diaphus effulgens,Diaphus effulgens
126,Diaphus perspicillatus,Diaphus perspicillatus,Diaphus perspicillatus
127,Diaphus luetkeni,Diaphus luetkeni,Diaphus luetkeni
128,Diaphus mollis,Diaphus mollis,Diaphus mollis
129,Diaphus rafinesquii,Diaphus rafinesquii,Diaphus rafinesquii
130,Diaphus termophilus,Diaphus termophilus,Diaphus termophilus
131,Electrona rissoi,Electrona rissoi,Electrona rissoi
132,Gonichthys coccoi,Cocco's Lanternfish,Lanterne de Cocco
133,Protomyctophum arcticum -obs,Protomyctophum arcticum -obs,Protomyctophum arcticum -obs
134,Hygophum benoiti,Benoit's lanternfish,Lanterne … long nez
135,Hygophum hygomi,Hygophum hygomi,Hygophum hygomi
136,Hygophum macrochir,Hygophum macrochir,Hygophum macrochir
137,Lampadena luminosa,Lampadena luminosa,Lampadena luminosa
138,Lampadena speculigera,Mirror lanternfish,Lanterne-miroir
139,Lampanyctus alatus,Lampanyctus alatus,Lampanyctus alatus
140,Liopsetta putnami,Smooth flounder,Plie lisse
141,Paralichthys dentatus,Summer flounder,Cardeau d'‚t‚
142,Paralichthys oblongus,Fourspot flounder,Cardeau quatre ocelles
143,Scophthalmus aquosus,Brill / windowpane,Turbot de sable
144,Lampanyctus crocodilus,Jewel lanternfish,Grande lampe bou‚e
145,Lampanyctus festivus,Lampanyctus festivus,Lampanyctus festivus
146,Lampanyctus macdonaldi,Lampanyctus macdonaldi,Lampanyctus macdonaldi
147,Lampanyctus pusillus,Lampanyctus pusillus,Lampanyctus pusillus
148,Bathypterois dubius,Notch feelerfish,Cran-tactile … muselet
149,Parasudis truculenta,Longnose greeneye,Oeil-vert … long nez
150,Myctophidae,Lanternfish (ns),Lanternes
151,Stomiatidae,Stomiatoid unid.,Dragons … ‚cailles
152,Diaphus dumerilii,Lanternfish,Diaphus dumerilii
153,Argentinoidei s.o.,Argentinoid (ns),Argentinoidei s.o.
154,Cyclothone microdon,Veiled angle mouth,Cyclothone … petites dents
155,Gonostoma elongatum,Longtooth anglemouth,Gonostome … grandes dents
156,Chlorophthalmus agassizi,Short-nose greeneye,Oeil-vert camus
157,Benthosema glaciale,Glacier lanternfish,Lanterne glaci_re
158,Maurolicus muelleri,Muller's pearlsides,Maurolicus muelleri
159,Stomias boa ferox,Boa dragonfish,Dragon-boa
160,Argentina silus,Atlantic argentine ,Grande argentine
161,Argentina striata,Striated argentine,Argentine stri‚e
162,Nansenia groenlandica,Large-eyed argentine,Serpe du Groenland
163,Ceratoscopelus maderensis,Horned lanternfish,Lanterne corn‚e
164,Brevoortia tyrannus,Atlantic menhaden,Alose tyran
165,Alosa aestivalis,Blueback herring,Alose d'‚t‚
166,Etrumeus teres,Round herring,Shadine
167,Megalops atlanticus,Tarpon,Tarpon
168,Diaphus metopoclampus,Headlight fish,Lanterne de tˆte de casseur
169,Chauliodus sloani,Viperfish,Chauliode de Sloane (tr_s lumineux)
170,Scomber japonicus,Chub mackerel,Maquereau blanc
171,Scomberomorus maculatus,Spanish mackerel,Maquereau espagnol
172,Euthynnus pelamis,Striped bonito/skipjack,Thonine … ventre ray‚e
173,Euthynnus alletteratus,False albacore,Thonine commune
174,Carangidae,Jack,Pompanos et carangues
175,Albula vulpes,Bonefish,Banane de mer
176,Bathylagus euryops,Goitre blacksmelt,Garcette-goitre
177,Malacosteus niger,Loosejaw,Drague sans lampe
178,Lobianchia gemellerii,Lobianchia gemellerii,Lobianchia gemellerii
179,Myctophum affine,Metallic lanternfish,Lanterne rude du nord
180,Myctophum punctatum,Spotted lanternfish,Lanterne ponctu‚e
181,Notolychnus valdiviae,Notolychnus valdiviae,Notolychnus valdiviae
182,Notoscopelus elongatus kroyeri,Lanternfish kroyer's,Lanterne-voili_re nordique
183,Notoscopelus resplendens,Lanternfish patchwork,Lanterne-voili_re sao-en-coin
184,Symbolophorus veranyi,Largescale lanternfish,Lanterne-de-coin nord-atlantique
185,Taaningichthys bathyphilus,Taaningichthys bathyphilus,Taaningichthys bathyphilus
186,Taaningichthys minimus,Taaningichthys minimus,Taaningichthys minimus
187,Auxis thazard,Frigate mackerel,Bonitou
188,Sarda sarda,Atlantic bonito,Bonite … dos ray‚
189,Scomberomorus  cavalla,King mackerel,Roi-des-maquereaux
190,Thunnus alalunga,Albacore tuna,Germon atlantique
191,Thunnus albacares,Yellowfin tuna,Albacore
192,Thunnus obesus,Bigeye tuna,Thon ventru
193,Urophycis sp.,Hake (ns),Merluches
194,Moridae,Moras,Mores
195,Enchelyopus/urophycis sp.,Rockling hake,Enchelyopus/urophycis sp.
196,Bothidae f.,Lefteye flounder,Turbots
197,Scaridae f.,Parrotfish,Scaridae f.
198,Syacium sp.,Channel flounder,Syacium sp.
199,Labroidei s.o.,Labroidei s.o.,Labroides
200,Dipturus laevis,Barndoor skate,Grande raie
201,Amblyraja radiata,Thorny skate,Raie ‚pineuse
202,Malacoraja senta,Smooth skate,Raie lisse
203,Leucoraja erinacea,Little skate,Raie herisson
204,Leucoraja ocellata,Winter skate,Raie tachet‚e
205,Bathyraja spinicauda,Spinytail skate,Raie … queue ‚pineuse
206,Raja eglanteria,Brier skate,Raie … nez blanc
207,Rajella fyllae,Round skate,Raie ronde
208,Malacoraja spinacidermis,Soft skate,Raie molle
209,Amblyraja jenseni,Jensen's skate,Raie … queue courte
210,Amblyraja hyperborea,Arctic skate,Raie bor‚ale
211,Rajidae f.,Skates (ns),Raies sp.
212,Raja bathyphila,Abyssal skate,Raie abyssale
213,Dasyatis centroura,Roughtail stingray,Pastenague … queue ‚pineuse
214,Myliobatiformes o. (ns),Rays (ns),Myliobatiformes o. (ns)
215,Odontaspis taurus,"Shark,sand",Requin-taureau
216,Torpedo nobiliana,Atlantic torpedo,Torpille noire
217,Raja lintea,White skate,Raie linon
218,Dasyatis violacea,Pelagic stingray,Pastenague violette
219,Batoidea s.o.,Skates and rays (ns),Raies
220,Squalus acanthias,Spiny dogfish,Aiguillat commun
221,Centroscyllium fabricii,Black dogfish,Aiguillat noir
222,Mustelus canis,Smooth dogfish,êmissole
223,Centroscymnus coelolepis,Portuguese shark,Pailona
224,Etmopterus princeps,Rough sagre,Sagre rude
225,Manta birostris,Atlantic manta,Mante atlantique
226,Protomyctophum arcticum,Protomyctophum arcticum,Lanterne arctique
227,Notoscopelus sp.,Notoscopelus sp.,Lanternes
228,Lepidophanes guentheri,Lepidophanes guentheri,Lepidophanes guentheri
229,Diaphus sp.,Diaphus sp.,Diaphus sp.
230,Lamna nasus,"Porbeagle,mackerel shark",MaraŒche
231,Prionace glauca,Blue shark,Requin bleu
232,Carcharodon carcharias,White shark,Requin blanc
233,Cetorhinus maximus,Basking shark,Requin p_lerin
234,Alopias vulpinus,Thresher shark,Requin-renard
235,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Requin … nez pointu
236,Sphyrna zygaena,"Smooth,hammerhead shark",Requin-marteau commun
237,Somniosus microcephalus,Greenland shark,Laimargue
238,Isurus oxyrinchus,Shortfin mako,Mako
239,Apristurus profundorum,Deepsea cat shark,Roussette de profondeur
240,Petromyzon marinus,Sea lamprey,Grande lamproie marine
241,Myxine glutinosa,Atlantic hagfish,Myxine du nord
242,Hydrolagus affinis,Deepwater chimaera,Chim_re de profondeur
243,Acipenser oxyrhynchus,American Atlantic sturgeon,Esturgeon noir
244,Carcharhinus longimanus,Oceanic whitetip shark,Requin rameur
245,Carcharhinus milberti,Sandbar shark,Carcharhinus milberti
