"project","day","month","year","tow.id","species","zone","tow.number","crab.number","sex","carapace.width","abdomen.width","chela.height","shell.condition","shell.condition.mossy","gonad.colour","egg.colour","eggs.remaining","tag.number","missing.legs","durometer","weight","comment"
"scs",26,8,2003,"GP224",2526,"12",1,1,2,72.94,49.2,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,2,2,76.34,53.96,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,3,2,71.98,50.25,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,4,2,74.58,52.01,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,5,2,83.29,59.36,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,6,2,76.99,51.61,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,7,2,70.8,49.48,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,8,2,72.68,50.94,,3," ",,1,4,"","****1*****",,,""
"scs",26,8,2003,"GP224",2526,"12",1,9,2,61.86,44.23,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,10,2,73.59,50.16,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,11,2,71.36,51.13,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,12,2,71.42,47.08,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,13,2,88.36,61.96,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,14,2,82.64,54.08,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,15,2,68.96,50.08,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,16,2,66.88,46.59,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,17,2,85.2,56.81,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,18,2,68.54,47.14,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,19,2,76.43,55.07,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,20,2,75.09,52.65,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,21,2,85.44,60.1,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,22,2,72.02,53.3,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,23,2,74.85,52.69,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,24,2,67.87,49,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,25,2,69.04,49.65,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,26,2,74.65,50.98,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,27,2,77.62,55.39,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,28,2,73.2,52.33,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,29,2,72.12,51.32,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,30,2,81.97,57.55,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,31,2,66.15,47.36,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,32,2,72.37,39.45,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,33,2,72.59,50.37,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,34,2,72.15,50.55,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,35,2,77.23,54.85,,3," ",,1,4,"","**********",,,""
"scs",26,8,2003,"GP224",2526,"12",1,36,2,75.67,53.68,,3," ",,1,4,"","**********",,,""
