year,month,day,tow.id,sex,body.part,gonad.colour,shell.condition,crab.number ,colour.L,colour.a,colour.b,comment
2019,7,12,GP351F,1,chela,,3,1,59.3,-3.71,2.02,
2019,7,12,GP351F,1,chela,,1,2,58.17,-2.84,-2.15,
2019,7,12,GP351F,1,chela,,3,6,51.68,-1.83,6.18,
2019,7,12,GP351F,1,chela,,3M,24,61.61,-2.6,6.39,
2019,7,12,GP351F,1,chela,,1,26,57.84,-2.46,-1.09,
2019,7,12,GP351F,1,chela,,2,53,61.74,-3.31,-2.09,
2019,7,13,GP334A3,1,chela,,3M,3,57.66,-2.25,8.72,
2019,7,13,GP334A3,1,chela,,1,4,63.6,0.17,1.36,
2019,7,13,GP344F,1,chela,,3,2,61.64,-4.13,4.17,
2019,7,13,GP344F,1,chela,,3,3,57,-1.55,3.76,
2019,7,13,GP344F,1,chela,,1,5,56.96,-3.41,-0.36,
2019,7,13,GP344F,1,chela,,3M,12,53.42,-1.31,11.4,
2019,7,13,GP344F,1,chela,,3M,13,55.7,-0.8,7.39,
2019,7,13,GP344F,2,abdomen,,,21,63.77,-1.3,12.31,
2019,7,13,GP344F,2,eggs,orange,,21,44.8,30.19,50.86,
2019,7,13,GP335F,1,chela,,1,3,61.88,-2.79,-0.69,
2019,7,13,GP335F,1,chela,,3M,9,58.57,-2.74,5.55,
2019,7,13,GP335F,1,chela,,3M,10,63.91,-3.7,1.25,
2019,7,13,GP335F,1,chela,,3,11,61.89,-3.3,3.57,
2019,7,13,GP335F,1,chela,,3,17,61.92,-3.82,5.97,
2019,7,13,GP335F,2,abdomen,,4,28,65.56,-0.62,17.03,
2019,7,13,GP335F,2,eggs,beige,4,28,45.92,28.67,51.32,
2019,7,13,GP335F,2,abdomen,,2,29,69.81,-0.03,13.74,
2019,7,13,GP335F,2,eggs,beige,2,29,45.83,30.88,52.44,
2019,7,13,GP331F,1,chela,,3,2,61.57,-3.3,3.5,
